ID,Title,Description,Public Disclosure Availability Date
483358,Microsoft Purview compliance portal: Recipient-triggered policy tips (policy tip to wait for recipient),"This feature ensures that policy tips are displayed only after recipients are added to an email, minimizing user disruption from DLP policy tips. With this improvement, relevant policy tips are only shown to users as they draft emails after the proper policy conditions are met.",March CY2025
482558,Microsoft Purview compliance portal: Modern eDiscovery enhancements,"We are introducing several enhancements to the eDiscovery modernized user interface. These updates include a comprehensive case-level data source view, the ability to retry failed locations for a more complete search statistics estimate, and the capability to view process reports across all cases. Users will also be able to duplicate search and copy search from hold or hold from search within the same case, reusing the data sources and queries. Additionally, customers will be able to access a more comprehensive reporting in all process reports including information like compliance boundary, encryption settings and more.",March CY2025
480733,Microsoft Purview compliance portal: Endpoint Data Loss Prevention - Add hyperlink support in warn and block toast messages,"With this feature, data officers can now embed hyperlinks within toast messages for specific rules. When this rule is triggered, the end user will see a toast with a customized title and message with a hyperlink. This feature is useful when organizations need to direct users to a specific resource or a repository for more specific instruction (e.g. internal policy SharePoint site).",March CY2025
479759,Microsoft Purview compliance portal: Endpoint Data Loss Prevention –  Configure network share groups using IP or IP address range,"With this feature, data officers can now configure specific IP addresses or IP address ranges in DLP Settings within Sensitive service domain groups to be used in DLP policies for more precise scoping.",March CY2025
479757,Microsoft Purview compliance portal: Endpoint Data Loss Prevention: Full file evidence support for restricted apps,"Full File Evidence supports activities like Cloud egress, paste to supported browser, copy to USB, Network share, RDP, Bluetooth app. Now we are expanding full file evidence collection for unallowed apps as well.",March CY2025
480734,Microsoft Purview compliance portal: Endpoint Data Loss Prevention - Endpoint DLP shows full path of target domain,Endpoint DLP should show full path of target domain and not just the domain name in Activity Explorer.,March CY2025
480731,Microsoft Purview compliance portal: Endpoint Data Loss Prevention - New Allow and Off modes for each activity,"The two new modes are Off and Allow. For Off, Endpoint DLP will not trigger events or Alerts and will not trigger notifications. Admins can use this enforcement mode to configure restrictions for a specific group. With Allow, Endpoint DLP will not trigger Alerts and will not trigger notifications but will trigger events in Activity explorer.",March CY2025
479082,Microsoft Purview compliance portal: Microsoft Purview capabilities for M365 Copilot,"Microsoft Purview is launching several capabilities in government cloud environments that help secure and govern data in Microsoft 365 Copilot. These are capabilities in Information Protection, Data Lifecycle Management, Audit, eDiscovery, and Communication Compliance. These capabilities will be available once Microsoft 365 Copilot is deployed.",March CY2025
478929,Microsoft Purview compliance portal: eDiscovery - Export Enhancements,"With the export of data being one of the core fundamentals of the solution, Microsoft Purview eDiscovery team is excited to announce significant changes coming to the export feature along with the new user experience in purview.microsoft.com. 
Key changes with export enhancements:
The biggest change being introduced is that with the new user experience for Ediscovery where Standard and Premium cases have unified structure, the export is also aligned for both the streams – thereby providing a singular experience to customers. The behavior is now unified across all export jobs - same download experience, some report experience, same error messages.
Additionally, for Standard customers, the need to install a clickonce application in their machine and use that tool to download data for exporting in azure storage is history. Now, in the new experience, customers don’t need to install the app anymore and can download directly through browser. 
Other changes coming through are:
- Change in Export limits and ZIP folder partitioning
- Better Export settings with more options
- New reporting capabilities
- Enhancements in Results load file",March CY2025
478928,Microsoft Purview compliance portal: eDiscovery - Quick Summarizations in eDiscovery,"Introducing the ""Quick Summarization"" feature for eDiscovery in Purview Copilot—designed to streamline case management with an intuitive, at-a-glance overview. This new capability allows users to quickly access a comprehensive summary of eDiscovery cases, holds, and searches, eliminating the need to navigate through multiple tabs to assess status, statistics of completed actions, pending tasks, and ongoing jobs.

The ""Quick Summarization"" feature consolidates this information into a single, easy-to-understand summary. Additionally, similar summary views are available for both Search and Hold within the eDiscovery case. Powered by existing “contextual summary” skill, the system analyzes case/search/hold metadata and generates natural language summaries, providing users with a clear, actionable overview of key details in real-time.",March CY2025
478660,Microsoft Purview compliance portal: Endpoint Data Loss Prevention - Separate role added for downloading the original file evidence for Endpoint,Microsoft Purview has introduced a new separate role for downloading the original evidence for Endpoint. It is applicable for both Customer Managed and Microsoft Managed storage when you try to download the evidence using Purview or XDR portal.,March CY2025
